date,product,store,sales,promotion,holiday
2026-01-01,Laptop,Store_A,12,1,1
2026-01-02,Laptop,Store_A,15,0,0
2026-01-03,Laptop,Store_A,18,1,0
2026-01-04,Laptop,Store_A,10,0,0
2026-01-05,Laptop,Store_A,14,0,0
2026-01-06,Laptop,Store_A,20,1,0
2026-01-07,Laptop,Store_A,22,1,0
2026-01-08,Laptop,Store_A,16,0,0
2026-01-09,Laptop,Store_A,19,0,0
2026-01-10,Laptop,Store_A,25,1,0
2026-01-11,Laptop,Store_A,28,1,0
2026-01-12,Laptop,Store_A,17,0,0
2026-01-13,Laptop,Store_A,21,0,0
2026-01-14,Laptop,Store_A,24,1,0
2026-01-15,Laptop,Store_A,30,1,1
2026-01-16,Laptop,Store_A,20,0,0
2026-01-17,Laptop,Store_A,23,0,0
2026-01-18,Laptop,Store_A,27,1,0
2026-01-19,Laptop,Store_A,31,1,0
2026-01-20,Laptop,Store_A,22,0,0
2026-01-21,Laptop,Store_A,25,0,0
2026-01-22,Laptop,Store_A,29,1,0
2026-01-23,Laptop,Store_A,35,1,0
2026-01-24,Laptop,Store_A,24,0,0
2026-01-25,Laptop,Store_A,26,0,0
2026-01-26,Laptop,Store_A,32,1,0
2026-01-27,Laptop,Store_A,38,1,0
2026-01-28,Laptop,Store_A,27,0,0
2026-01-29,Laptop,Store_A,30,0,0
2026-01-30,Laptop,Store_A,36,1,0
2026-01-31,Laptop,Store_A,40,1,0
